matrix_id,registry_id,author_year,domain,problem,method_or_tool,coordination_focus,contribution,relation_to_mab,citation_status,metadata_status,abnt_status,editorial_note
RW01,R051,"Pais et al. (2024)","farmácia on-line","prevenção de erros em instruções de uso de medicamentos","MEDIC; LLM ajustado; lógica farmacêutica; salvaguardas; revisão profissional","sistema especializado; sem comparação multiagente","integra conhecimento de domínio e segurança em operação real","define requisitos do estudo de caso; não sustenta escolha arquitetural",cited,verified,complete,"Manter como contexto empírico; não transportar resultados ao MAB"
RW02,R039,"Jagatap; Merugu; Comar (2025)","farmácia digital","construção de carrinho a partir de prescrições","pipeline com supressão de dados pessoais; OCR; extração; recuperação e rastreabilidade","sequência de componentes especializados","demonstra decomposição operacional e rastreabilidade","fundamenta o uso de ferramentas; não isola o efeito da arquitetura",cited,verified,complete,"Apesar do título multi-agent; descrever como pipeline especializado"
RW03,R055,"Lu et al. (2024)","triagem clínica","colaboração em classificação de prioridade clínica","TriageAgent; papéis; autoconfiança; parada antecipada; RAG","discussão multiagente heterogênea em múltiplas rodadas","explicita colaboração e controle em domínio sensível","ponte entre coordenação e estudo de caso; avalia uma arquitetura específica",cited,verified,complete,"Preservar distinção entre triagem clínica e atendimento em farmácias"
RW04,R041,"Balaprakash et al. (2025)","computação científica","gerenciamento distribuído de workflows","SWARM; distribuição de funções de gerenciamento","coordenação descentralizada e autonomia local","oferece contraponto arquitetural consolidado para descentralização","relevante à distribuição de controle; domínio e avaliação distintos",cited,verified,complete,"Não apresentar como sistema LLM nem como atendimento"
RW05,R044,"Qian et al. (2025)","tarefas gerais","escala da colaboração entre agentes","MacNet; grafos acíclicos direcionados; variação de escala","topologia e quantidade de agentes","mostra interação entre forma da rede e escala","sustenta que topologia não é variável neutra; não corresponde às três condições do MAB",cited,verified,complete,"Fonte primária ICLR; evitar generalizar resultados entre topologias"
RW06,R057,"Zhu et al. (2025)","cenários interativos gerais","avaliação de colaboração e competição","MultiAgentBench; indicadores baseados em marcos","protocolos em estrela; cadeia; árvore e grafo","trata topologia como variável experimental e mede o processo de colaboração","correlato forte de benchmark arquitetural; protocolos diferentes do MAB",cited,verified,complete,"Obra independente; não confundir MultiAgentBench com o artefato MAB do TCC"
RW07,R042,"Wang et al. (2025)","tarefas gerais dependentes de contexto","efeito dos mecanismos de colaboração","análise de governança; participação; interação; gestão do histórico","dimensões observáveis de coordenação","relaciona mecanismos à qualidade e à eficiência computacional","fornece critérios para caracterizar orquestração; workflow e swarm",cited,verified,complete,"Alinhado às seções 2.5.4; 3.2 e 3.3"
RW08,R058,"Zhou et al. (2026)","raciocínio; compreensão multi-hop e código","desenho de sistemas multiagentes","Multi-Agent System Search; otimização intercalada","prompts locais; topologias e orquestração de workflow","mostra interação entre configuração do agente e topologia","sustenta o controle de variáveis não arquiteturais no experimento",cited,verified,complete,"Fonte primária ICLR 2026; não transportar desempenho publicado"
RW09,R038,"Kim et al. (2026)","sistemas multiagentes baseados em modelos de linguagem","efeito da arquitetura no desempenho e no custo","comparação experimental de 260 configurações","agente único; independentes; centralizada; descentralizada; híbrida","evidencia dependência entre tarefa; capacidade do modelo e coordenação","correlato metodológico mais próximo; não inclui ferramentas de atendimento",cited,verified,complete,"Usar somente a versão publicada de 2026"
RW10,R031,"MAB (presente trabalho)","estudo de caso no atendimento em farmácias","comparação de arquiteturas sob condições equivalentes","protocolo comparativo em preparação","orquestração centralizada; workflow estruturado; swarm descentralizado","artefato experimental proposto; sem resultados enquanto os gates estiverem fechados","objeto é a coordenação; o domínio farmacêutico é contexto experimental",technical_source,verified,not_applicable,"Manter apenas descrição de escopo; resultados; discussão e conclusão permanecem bloqueados"
